"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2020Q1","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Accommodation and food service activities (I)","All employees","Euro","360.08"
"Average Weekly Earnings","2020Q1","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Information and communication (J)","All employees","Euro","1323.93"
"Average Weekly Earnings","2020Q1","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Financial and insurance activities (K)","All employees","Euro","1350.23"
"Average Weekly Earnings","2020Q1","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Real estate activities (L)","All employees","Euro","738.43"
"Average Weekly Earnings","2020Q1","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Professional, scientific and technical activities (M)","All employees","Euro","965.45"
"Average Weekly Earnings","2020Q1","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Administrative and support service activities (N)","All employees","Euro","642.86"
"Average Weekly Earnings","2020Q1","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Public administration and defence; compulsory social security (O)","All employees","Euro","968.11"
"Average Weekly Earnings","2020Q1","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Education (P)","All employees","Euro","865.48"
"Average Weekly Earnings","2020Q1","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Human health and social work activities (Q)","All employees","Euro","762.75"
"Average Weekly Earnings","2020Q1","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Arts, entertainment and recreation (R)","All employees","Euro","591.36"
"Average Weekly Earnings","2020Q1","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Other service activities (S)","All employees","Euro","488.56"
"Average Weekly Earnings","2020Q1","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Industry (B to E)","All employees","Euro","954.99"
"Average Weekly Earnings","2020Q1","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Electricity, water supply and waste management (D,E)","All employees","Euro","1163.26"
"Average Weekly Earnings","2020Q1","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Financial, insurance and real estate activities (K,L)","All employees","Euro","1281.38"
"Average Weekly Earnings","2020Q1","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","542.84"
"Average Weekly Earnings","2020Q1","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q2","All NACE economic sectors","All employees","Euro","817.55"
"Average Weekly Earnings","2020Q2","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q2","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q2","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q2","Mining and quarrying (B)","All employees","Euro","933.33"
"Average Weekly Earnings","2020Q2","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q2","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
